Game,Copies sold,Release date,Genre(s),Developer(s),Publisher(s)
Halo 5: Guardians,10 million,"October 27, 2015",First-person shooter,343 Industries,Xbox Game Studios
PUBG: Battlegrounds,9 million,"September 4, 2018",Battle royale,PUBG Studios,Krafton
The Witcher 3: Wild Hunt,4.3 million,"May 19, 2015",Action role-playing,CD Projekt Red,CD Projekt
Cuphead,3.00 million,"September 29, 2017",Run and gun,StudioMDHR,StudioMDHR
Dead Rising 3,3.00 million,"November 22, 2013",Action-adventuresurvival horror,Capcom Vancouver,Xbox Game Studios
Cyberpunk 2077,2.33 million,"December 10, 2020",Action role-playing,CD Projekt Red,CD Projekt
Forza Motorsport 5,2 million,"November 22, 2013",Racing,Turn 10 Studios,Xbox Game Studios
Monster Hunter World,1.78 million,"January 26, 2018",Action role-playing,Capcom,Capcom
Ark: Survival Evolved,1.5 million,"August 29, 2017",Action-adventuresurvival,Studio Wildcard,Studio Wildcard
Ryse: Son of Rome,1.28 million,"November 22, 2013",Action-adventure   hack and slash,Crytek,Xbox Game Studios
Forza Motorsport 6,1 million,"September 15, 2015",Racing,Turn 10 Studios,Microsoft Studios
Rise of the Tomb Raider,1 million,"November 10, 2015",Action-adventure,Crystal Dynamics,Xbox Game Studios
